,DateTime
170,2020-06-22 08:20:00
171,2020-06-22 08:25:00
172,2020-06-22 08:30:00
173,2020-06-22 08:35:00
174,2020-06-22 08:40:00
175,2020-06-22 08:45:00
176,2020-06-22 08:50:00
177,2020-06-22 08:55:00
178,2020-06-22 09:05:00
179,2020-06-22 09:10:00
180,2020-06-22 09:15:00
181,2020-06-22 09:20:00
182,2020-06-22 09:25:00
183,2020-06-22 09:30:00
184,2020-06-22 09:35:00
185,2020-06-22 09:40:00
186,2020-06-22 09:45:00
187,2020-06-22 09:55:00
188,2020-06-22 11:05:00
189,2020-06-22 11:10:00
190,2020-06-22 11:15:00
191,2020-06-22 11:20:00
192,2020-06-22 11:25:00
193,2020-06-22 11:30:00
194,2020-06-22 11:35:00
195,2020-06-22 11:40:00
196,2020-06-22 11:45:00
197,2020-06-22 11:55:00
198,2020-06-22 12:00:00
199,2020-06-22 12:05:00
200,2020-06-22 12:10:00
201,2020-06-22 12:15:00
202,2020-06-22 12:20:00
203,2020-06-22 12:25:00
204,2020-06-22 12:30:00
205,2020-06-22 12:40:00
206,2020-06-22 12:45:00
207,2020-06-22 12:50:00
208,2020-06-22 12:55:00
209,2020-06-22 13:00:00
210,2020-06-22 13:10:00
211,2020-06-22 13:15:00
212,2020-06-22 13:20:00
213,2020-06-22 13:25:00
214,2020-06-22 13:30:00
215,2020-06-22 13:35:00
216,2020-06-23 00:55:00
217,2020-06-23 01:20:00
218,2020-06-23 01:50:00
219,2020-06-23 02:15:00
220,2020-06-23 02:40:00
221,2020-06-23 05:50:00
222,2020-06-23 05:55:00
223,2020-06-23 13:35:00
224,2020-06-23 13:50:00
225,2020-06-23 13:55:00
226,2020-06-23 17:00:00
227,2020-06-23 17:05:00
228,2020-06-23 17:10:00
229,2020-06-23 17:20:00
230,2020-06-23 17:25:00
231,2020-06-23 20:40:00
232,2020-06-23 21:55:00
233,2020-06-23 22:00:00
234,2020-06-23 22:05:00
235,2020-06-23 22:15:00
236,2020-06-23 22:20:00
237,2020-06-23 22:30:00
238,2020-06-23 22:40:00
239,2020-06-23 22:55:00
240,2020-06-23 23:00:00
241,2020-06-23 23:05:00
242,2020-06-23 23:10:00
243,2020-06-23 23:35:00
244,2020-06-23 23:45:00
245,2020-06-23 23:50:00
246,2020-06-23 23:55:00
247,2020-06-24 00:25:00
248,2020-06-24 00:30:00
249,2020-06-24 00:40:00
250,2020-06-24 00:50:00
251,2020-06-24 01:20:00
252,2020-06-24 01:45:00
253,2020-06-24 02:10:00
254,2020-06-24 05:00:00
255,2020-06-24 05:05:00
256,2020-06-24 05:10:00
257,2020-06-24 05:15:00
258,2020-06-24 05:35:00
259,2020-06-24 06:00:00
260,2020-06-24 06:25:00
261,2020-06-24 06:50:00
262,2020-06-24 07:10:00
263,2020-06-24 07:20:00
264,2020-06-24 18:10:00
265,2020-06-24 18:40:00
266,2020-06-24 18:50:00
267,2020-06-24 18:55:00
268,2020-06-24 19:05:00
269,2020-06-24 19:10:00
270,2020-06-24 19:20:00
271,2020-06-24 19:25:00
272,2020-06-25 04:35:00
273,2020-06-25 05:00:00
274,2020-06-25 05:25:00
275,2020-06-25 05:50:00
276,2020-06-25 06:15:00
277,2020-06-25 07:05:00
278,2020-06-25 10:25:00
279,2020-06-25 10:45:00
280,2020-06-25 11:05:00
281,2020-06-25 12:10:00
282,2020-06-25 12:40:00
283,2020-06-25 12:45:00
284,2020-06-25 12:50:00
285,2020-06-25 12:55:00
286,2020-06-25 13:05:00
287,2020-06-25 13:10:00
288,2020-06-25 13:15:00
289,2020-06-25 13:25:00
290,2020-06-25 13:40:00
291,2020-06-25 14:05:00
292,2020-06-25 14:15:00
293,2020-06-25 14:20:00
294,2020-06-25 14:25:00
295,2020-06-25 14:35:00
296,2020-06-25 14:45:00
297,2020-06-25 15:00:00
298,2020-06-25 15:15:00
299,2020-06-25 15:35:00
300,2020-06-25 15:40:00
301,2020-06-25 15:45:00
302,2020-06-25 16:15:00
303,2020-06-25 16:20:00
304,2020-06-25 16:25:00
305,2020-06-25 16:30:00
306,2020-06-25 16:40:00
307,2020-06-25 16:45:00
308,2020-06-25 16:50:00
309,2020-06-25 17:00:00
310,2020-06-25 17:05:00
311,2020-06-25 17:15:00
312,2020-06-25 17:20:00
313,2020-06-25 17:25:00
314,2020-06-25 17:30:00
315,2020-06-25 17:40:00
316,2020-06-25 17:45:00
317,2020-06-25 17:50:00
318,2020-06-25 17:55:00
319,2020-06-25 18:05:00
320,2020-06-25 18:10:00
321,2020-06-25 18:15:00
322,2020-06-25 18:20:00
323,2020-06-25 18:25:00
324,2020-06-25 18:30:00
325,2020-06-25 18:40:00
326,2020-06-25 18:45:00
327,2020-06-25 18:50:00
328,2020-06-25 19:00:00
329,2020-06-25 19:05:00
330,2020-06-25 19:10:00
331,2020-06-25 19:15:00
332,2020-06-25 19:20:00
333,2020-06-25 19:25:00
334,2020-06-26 01:10:00
335,2020-06-26 01:15:00
336,2020-06-26 01:20:00
337,2020-06-26 01:25:00
338,2020-06-26 01:35:00
339,2020-06-26 01:40:00
340,2020-06-26 01:45:00
341,2020-06-26 02:10:00
342,2020-06-26 02:20:00
343,2020-06-26 02:25:00
344,2020-06-26 02:30:00
345,2020-06-26 02:40:00
346,2020-06-26 02:45:00
347,2020-06-26 02:50:00
348,2020-06-26 03:00:00
349,2020-06-26 03:05:00
350,2020-06-26 03:10:00
351,2020-06-26 03:15:00
352,2020-06-26 03:25:00
353,2020-06-26 03:30:00
354,2020-06-26 03:35:00
355,2020-06-26 03:50:00
356,2020-06-26 04:15:00
357,2020-06-26 04:55:00
358,2020-06-26 05:15:00
359,2020-06-26 05:20:00
360,2020-06-26 05:25:00
361,2020-06-26 05:30:00
362,2020-06-26 05:35:00
363,2020-06-26 05:40:00
364,2020-06-26 05:50:00
365,2020-06-26 05:55:00
366,2020-06-26 06:00:00
367,2020-06-26 06:10:00
368,2020-06-26 06:15:00
369,2020-06-26 06:20:00
370,2020-06-26 06:25:00
371,2020-06-26 06:30:00
372,2020-06-26 06:35:00
373,2020-06-26 06:45:00
374,2020-06-26 06:50:00
375,2020-06-26 06:55:00
376,2020-06-26 07:05:00
377,2020-06-26 07:10:00
378,2020-06-26 07:15:00
379,2020-06-26 07:20:00
380,2020-06-26 07:25:00
381,2020-06-26 07:35:00
382,2020-06-26 07:40:00
383,2020-06-26 07:45:00
384,2020-06-26 07:50:00
385,2020-06-26 07:55:00
386,2020-06-26 08:00:00
387,2020-06-26 08:05:00
388,2020-06-26 08:10:00
389,2020-06-26 08:15:00
390,2020-06-26 08:20:00
391,2020-06-26 08:25:00
392,2020-06-26 08:30:00
393,2020-06-26 08:35:00
394,2020-06-26 08:40:00
395,2020-06-26 08:45:00
396,2020-06-26 08:50:00
397,2020-06-26 08:55:00
398,2020-06-26 09:00:00
399,2020-06-26 09:05:00
400,2020-06-26 09:15:00
401,2020-06-26 09:20:00
402,2020-06-26 09:25:00
403,2020-06-26 09:30:00
404,2020-06-26 09:40:00
405,2020-06-26 23:05:00
406,2020-06-26 23:30:00
407,2020-06-26 23:40:00
408,2020-06-26 23:45:00
409,2020-06-26 23:55:00
410,2020-06-27 00:00:00
411,2020-06-27 00:20:00
412,2020-06-27 00:35:00
413,2020-06-27 00:45:00
414,2020-06-27 02:50:00
415,2020-06-27 04:45:00
416,2020-06-27 04:50:00
417,2020-06-27 04:55:00
418,2020-06-27 05:10:00
419,2020-06-27 05:15:00
420,2020-06-27 05:20:00
421,2020-06-27 05:25:00
422,2020-06-27 05:35:00
423,2020-06-27 05:40:00
424,2020-06-27 05:45:00
425,2020-06-27 05:55:00
426,2020-06-27 06:00:00
427,2020-06-27 06:05:00
428,2020-06-27 06:10:00
429,2020-06-27 06:15:00
430,2020-06-27 06:20:00
431,2020-06-27 06:30:00
432,2020-06-27 06:35:00
433,2020-06-27 06:40:00
434,2020-06-27 06:45:00
435,2020-06-27 06:50:00
436,2020-06-27 07:00:00
437,2020-06-27 07:05:00
438,2020-06-27 07:10:00
439,2020-06-27 07:15:00
440,2020-06-27 07:20:00
441,2020-06-27 07:30:00
442,2020-06-27 07:35:00
443,2020-06-27 07:40:00
444,2020-06-27 07:45:00
445,2020-06-27 07:50:00
446,2020-06-27 10:00:00
447,2020-06-27 10:05:00
448,2020-06-27 10:10:00
449,2020-06-27 10:15:00
450,2020-06-27 10:20:00
451,2020-06-27 10:25:00
452,2020-06-27 10:30:00
453,2020-06-27 10:40:00
454,2020-06-27 10:45:00
455,2020-06-27 10:50:00
456,2020-06-27 10:55:00
457,2020-06-27 11:20:00
458,2020-06-27 11:40:00
459,2020-06-27 12:10:00
460,2020-06-27 12:30:00
461,2020-06-27 12:35:00
462,2020-06-27 12:40:00
463,2020-06-27 12:45:00
464,2020-06-27 12:55:00
465,2020-06-27 23:15:00
466,2020-06-27 23:25:00
467,2020-06-27 23:30:00
468,2020-06-27 23:35:00
469,2020-06-28 00:50:00
470,2020-06-28 04:50:00
471,2020-06-28 04:55:00
472,2020-06-28 05:05:00
473,2020-06-28 05:10:00
474,2020-06-28 05:15:00
475,2020-06-28 05:20:00
476,2020-06-28 05:25:00
477,2020-06-28 05:35:00
478,2020-06-28 05:40:00
479,2020-06-28 05:45:00
480,2020-06-28 05:50:00
481,2020-06-28 05:55:00
482,2020-06-28 06:05:00
483,2020-06-28 06:10:00
484,2020-06-28 06:15:00
485,2020-06-28 06:20:00
486,2020-06-28 06:25:00
487,2020-06-28 06:30:00
488,2020-06-28 06:40:00
489,2020-06-28 06:45:00
490,2020-06-28 06:50:00
491,2020-06-28 06:55:00
492,2020-06-28 07:00:00
493,2020-06-28 07:20:00
494,2020-06-28 07:45:00
495,2020-06-28 07:50:00
496,2020-06-28 07:55:00
497,2020-06-28 08:05:00
498,2020-06-28 08:10:00
499,2020-06-28 08:15:00
500,2020-06-28 08:20:00
501,2020-06-28 08:25:00
502,2020-06-28 08:35:00
503,2020-06-28 08:40:00
504,2020-06-28 08:45:00
505,2020-06-28 08:50:00
506,2020-06-28 08:55:00
507,2020-06-28 20:20:00
508,2020-06-28 20:30:00
509,2020-06-28 20:35:00
510,2020-06-28 20:40:00
511,2020-06-28 20:45:00
512,2020-06-28 20:50:00
513,2020-06-28 20:55:00
514,2020-06-28 21:05:00
515,2020-06-28 21:10:00
516,2020-06-28 21:15:00
517,2020-06-28 21:20:00
518,2020-06-28 21:25:00
519,2020-06-28 21:30:00
520,2020-06-28 21:40:00
521,2020-06-28 21:45:00
522,2020-06-28 21:50:00
523,2020-06-28 21:55:00
524,2020-06-28 22:05:00
525,2020-06-28 22:10:00
526,2020-06-28 22:15:00
527,2020-06-28 22:20:00
528,2020-06-28 22:25:00
529,2020-06-28 22:30:00
530,2020-06-28 22:35:00
531,2020-06-28 22:45:00
532,2020-06-28 22:50:00
533,2020-06-28 22:55:00
534,2020-06-28 23:00:00
535,2020-06-28 23:10:00
536,2020-06-28 23:15:00
537,2020-06-28 23:20:00
538,2020-06-28 23:25:00
539,2020-06-28 23:30:00
540,2020-06-28 23:35:00
541,2020-06-28 23:40:00
542,2020-06-29 03:10:00
543,2020-06-29 03:15:00
544,2020-06-29 03:20:00
545,2020-06-29 03:25:00
546,2020-06-29 03:35:00
547,2020-06-29 03:40:00
548,2020-06-29 03:50:00
549,2020-06-29 03:55:00
550,2020-06-29 04:00:00
551,2020-06-29 04:05:00
552,2020-06-29 04:10:00
553,2020-06-29 04:15:00
554,2020-06-29 04:20:00
555,2020-06-29 04:25:00
556,2020-06-29 04:30:00
557,2020-06-29 04:35:00
558,2020-06-29 04:40:00
559,2020-06-29 04:45:00
560,2020-06-29 04:50:00
561,2020-06-29 04:55:00
562,2020-06-29 05:00:00
563,2020-06-29 05:05:00
564,2020-06-29 05:15:00
565,2020-06-29 05:20:00
566,2020-06-29 05:25:00
567,2020-06-29 05:30:00
568,2020-06-29 05:35:00
569,2020-06-29 05:40:00
570,2020-06-29 05:45:00
571,2020-06-29 05:50:00
572,2020-06-29 10:15:00
573,2020-06-29 10:40:00
574,2020-06-29 11:05:00
575,2020-06-29 21:20:00
576,2020-06-29 21:45:00
577,2020-06-29 22:10:00
578,2020-06-29 22:35:00
579,2020-06-29 23:00:00
580,2020-06-29 23:25:00
581,2020-06-29 23:30:00
582,2020-06-29 23:35:00
583,2020-06-29 23:55:00
584,2020-06-30 00:20:00
585,2020-06-30 00:45:00
586,2020-06-30 01:10:00
587,2020-06-30 01:30:00
588,2020-06-30 01:35:00
589,2020-06-30 01:45:00
590,2020-06-30 02:00:00
591,2020-06-30 02:05:00
592,2020-06-30 02:15:00
593,2020-06-30 04:30:00
594,2020-06-30 04:35:00
595,2020-06-30 04:40:00
596,2020-06-30 04:45:00
597,2020-06-30 05:00:00
598,2020-06-30 05:25:00
599,2020-06-30 05:50:00
600,2020-06-30 05:55:00
601,2020-06-30 06:00:00
602,2020-06-30 06:20:00
603,2020-06-30 06:45:00
604,2020-06-30 07:10:00
605,2020-06-30 07:35:00
606,2020-06-30 07:40:00
607,2020-06-30 07:45:00
608,2020-06-30 07:50:00
609,2020-06-30 08:00:00
610,2020-06-30 08:25:00
611,2020-06-30 08:30:00
612,2020-06-30 08:35:00
613,2020-06-30 08:50:00
614,2020-06-30 09:20:00
615,2020-06-30 09:25:00
616,2020-06-30 09:30:00
617,2020-06-30 09:35:00
618,2020-06-30 10:30:00
619,2020-06-30 10:35:00
620,2020-06-30 10:40:00
621,2020-06-30 10:55:00
622,2020-06-30 11:15:00
623,2020-06-30 11:20:00
624,2020-06-30 11:25:00
625,2020-06-30 11:35:00
626,2020-06-30 11:40:00
627,2020-06-30 11:45:00
628,2020-06-30 11:55:00
629,2020-06-30 12:00:00
630,2020-06-30 12:15:00
631,2020-06-30 12:35:00
632,2020-06-30 12:40:00
633,2020-06-30 12:50:00
634,2020-06-30 13:05:00
635,2020-06-30 13:20:00
636,2020-06-30 13:25:00
637,2020-06-30 13:30:00
638,2020-06-30 13:35:00
639,2020-06-30 13:45:00
640,2020-06-30 13:50:00
641,2020-06-30 13:55:00
642,2020-06-30 14:20:00
643,2020-06-30 14:35:00
644,2020-06-30 14:40:00
645,2020-06-30 14:45:00
646,2020-06-30 15:00:00
647,2020-06-30 15:05:00
648,2020-06-30 15:10:00
649,2020-06-30 15:15:00
650,2020-06-30 15:25:00
651,2020-06-30 15:35:00
652,2020-06-30 15:40:00
653,2020-06-30 15:45:00
654,2020-06-30 15:55:00
655,2020-06-30 16:05:00
656,2020-06-30 16:10:00
657,2020-06-30 16:15:00
658,2020-06-30 16:25:00
659,2020-06-30 16:30:00
660,2020-06-30 16:35:00
661,2020-06-30 16:45:00
662,2020-06-30 16:50:00
663,2020-06-30 16:55:00
664,2020-06-30 19:55:00
665,2020-06-30 20:00:00
666,2020-06-30 20:10:00
667,2020-06-30 20:15:00
668,2020-06-30 20:20:00
669,2020-06-30 20:45:00
670,2020-06-30 20:55:00
671,2020-06-30 21:05:00
672,2020-06-30 21:10:00
673,2020-06-30 21:15:00
674,2020-06-30 21:20:00
675,2020-06-30 21:30:00
676,2020-06-30 21:35:00
677,2020-06-30 21:40:00
678,2020-06-30 21:45:00
679,2020-06-30 21:55:00
680,2020-06-30 22:05:00
681,2020-06-30 22:10:00
682,2020-06-30 22:15:00
683,2020-06-30 22:20:00
684,2020-06-30 22:30:00
685,2020-06-30 22:35:00
686,2020-06-30 22:40:00
687,2020-06-30 22:45:00
688,2020-06-30 22:55:00
689,2020-06-30 23:00:00
690,2020-06-30 23:10:00
691,2020-06-30 23:15:00
692,2020-06-30 23:20:00
693,2020-06-30 23:25:00
694,2020-06-30 23:30:00
695,2020-06-30 23:40:00
696,2020-06-30 23:45:00
697,2020-06-30 23:50:00
698,2020-06-30 23:55:00
699,2020-07-01 00:05:00
700,2020-07-01 00:10:00
701,2020-07-01 00:15:00
702,2020-07-01 00:20:00
703,2020-07-01 00:25:00
704,2020-07-01 00:35:00
705,2020-07-01 00:40:00
706,2020-07-01 00:45:00
707,2020-07-01 00:50:00
708,2020-07-01 00:55:00
709,2020-07-01 09:40:00
710,2020-07-01 10:05:00
711,2020-07-01 10:30:00
712,2020-07-01 10:50:00
713,2020-07-01 10:55:00
714,2020-07-01 11:05:00
715,2020-07-01 11:10:00
716,2020-07-01 11:15:00
717,2020-07-01 11:20:00
718,2020-07-01 11:25:00
719,2020-07-01 11:35:00
720,2020-07-01 11:40:00
721,2020-07-01 11:45:00
722,2020-07-01 11:50:00
723,2020-07-01 11:55:00
724,2020-07-01 12:05:00
725,2020-07-01 12:10:00
726,2020-07-01 12:15:00
727,2020-07-01 12:20:00
728,2020-07-01 12:25:00
729,2020-07-01 12:30:00
730,2020-07-01 12:35:00
731,2020-07-01 12:45:00
732,2020-07-01 12:50:00
733,2020-07-01 12:55:00
734,2020-07-01 13:00:00
735,2020-07-01 13:10:00
736,2020-07-01 13:15:00
737,2020-07-01 13:20:00
738,2020-07-01 13:25:00
739,2020-07-01 13:30:00
740,2020-07-01 13:35:00
741,2020-07-01 13:40:00
742,2020-07-01 13:45:00
743,2020-07-01 13:50:00
744,2020-07-01 13:55:00
745,2020-07-01 14:05:00
746,2020-07-01 14:10:00
747,2020-07-01 14:15:00
748,2020-07-01 14:20:00
749,2020-07-01 14:25:00
750,2020-07-01 14:30:00
751,2020-07-01 14:35:00
752,2020-07-01 14:40:00
753,2020-07-01 14:45:00
754,2020-07-01 14:50:00
755,2020-07-01 15:00:00
756,2020-07-01 15:05:00
757,2020-07-01 15:10:00
758,2020-07-01 15:15:00
759,2020-07-01 15:20:00
760,2020-07-01 15:25:00
761,2020-07-01 15:30:00
762,2020-07-01 15:35:00
763,2020-07-01 15:45:00
764,2020-07-01 15:50:00
765,2020-07-01 15:55:00
766,2020-07-01 16:05:00
767,2020-07-01 16:10:00
768,2020-07-01 16:15:00
769,2020-07-01 16:20:00
770,2020-07-01 16:25:00
771,2020-07-01 16:30:00
772,2020-07-01 16:40:00
773,2020-07-01 16:45:00
774,2020-07-01 16:50:00
775,2020-07-01 16:55:00
776,2020-07-01 17:05:00
777,2020-07-01 17:10:00
778,2020-07-01 17:15:00
779,2020-07-01 17:20:00
780,2020-07-01 17:30:00
781,2020-07-01 17:35:00
782,2020-07-01 17:40:00
783,2020-07-01 17:45:00
784,2020-07-01 17:55:00
785,2020-07-01 18:10:00
786,2020-07-01 18:15:00
787,2020-07-01 18:20:00
788,2020-07-01 18:30:00
789,2020-07-01 18:45:00
790,2020-07-01 18:50:00
791,2020-07-01 19:00:00
792,2020-07-01 19:35:00
793,2020-07-01 19:40:00
794,2020-07-01 19:50:00
795,2020-07-01 19:55:00
796,2020-07-01 20:55:00
797,2020-07-01 22:30:00
798,2020-07-01 22:35:00
799,2020-07-02 06:25:00
800,2020-07-02 06:30:00
801,2020-07-02 06:35:00
802,2020-07-02 06:40:00
803,2020-07-02 06:45:00
804,2020-07-02 06:50:00
805,2020-07-02 07:00:00
806,2020-07-02 07:05:00
807,2020-07-02 07:10:00
808,2020-07-02 07:15:00
809,2020-07-02 07:20:00
810,2020-07-02 07:30:00
811,2020-07-02 07:35:00
812,2020-07-02 07:40:00
813,2020-07-02 07:45:00
814,2020-07-02 07:50:00
815,2020-07-02 08:00:00
816,2020-07-02 08:05:00
817,2020-07-02 08:10:00
818,2020-07-02 08:15:00
819,2020-07-02 08:20:00
820,2020-07-02 08:30:00
821,2020-07-02 08:35:00
822,2020-07-02 08:40:00
823,2020-07-02 08:45:00
824,2020-07-02 08:50:00
825,2020-07-02 14:40:00
826,2020-07-02 15:05:00
827,2020-07-02 15:30:00
828,2020-07-02 15:55:00
829,2020-07-02 16:05:00
830,2020-07-02 16:10:00
831,2020-07-02 16:15:00
832,2020-07-02 16:30:00
833,2020-07-02 16:55:00
834,2020-07-02 17:00:00
835,2020-07-02 17:20:00
836,2020-07-02 17:35:00
837,2020-07-02 17:40:00
838,2020-07-02 17:45:00
839,2020-07-02 18:10:00
840,2020-07-02 18:20:00
841,2020-07-02 18:25:00
842,2020-07-02 18:30:00
843,2020-07-03 06:25:00
844,2020-07-03 06:35:00
845,2020-07-03 06:40:00
846,2020-07-03 06:45:00
847,2020-07-03 07:05:00
848,2020-07-03 07:10:00
849,2020-07-03 07:15:00
850,2020-07-03 07:20:00
851,2020-07-03 07:25:00
852,2020-07-03 07:30:00
853,2020-07-03 07:40:00
854,2020-07-03 08:05:00
855,2020-07-03 08:10:00
856,2020-07-03 08:15:00
857,2020-07-03 08:20:00
858,2020-07-03 08:25:00
859,2020-07-03 10:15:00
860,2020-07-03 10:25:00
861,2020-07-03 10:30:00
862,2020-07-03 10:35:00
863,2020-07-03 10:40:00
864,2020-07-03 10:45:00
865,2020-07-03 10:50:00
866,2020-07-03 10:55:00
867,2020-07-03 11:05:00
868,2020-07-03 11:10:00
869,2020-07-03 11:15:00
870,2020-07-03 11:20:00
871,2020-07-03 11:25:00
872,2020-07-03 11:30:00
873,2020-07-03 11:35:00
874,2020-07-03 11:40:00
875,2020-07-03 11:45:00
876,2020-07-03 11:50:00
877,2020-07-03 11:55:00
878,2020-07-03 12:05:00
879,2020-07-03 12:10:00
880,2020-07-03 12:15:00
881,2020-07-03 12:20:00
882,2020-07-03 12:25:00
883,2020-07-03 12:30:00
884,2020-07-03 12:35:00
885,2020-07-03 12:40:00
886,2020-07-03 12:45:00
887,2020-07-03 12:50:00
888,2020-07-03 12:55:00
889,2020-07-03 13:00:00
890,2020-07-03 13:10:00
891,2020-07-03 13:15:00
892,2020-07-03 13:20:00
893,2020-07-03 13:25:00
894,2020-07-03 13:30:00
895,2020-07-03 13:35:00
896,2020-07-03 13:40:00
897,2020-07-03 13:45:00
898,2020-07-03 13:50:00
899,2020-07-03 13:55:00
900,2020-07-03 14:05:00
901,2020-07-03 14:10:00
902,2020-07-03 14:15:00
903,2020-07-03 14:20:00
904,2020-07-03 14:25:00
905,2020-07-03 14:30:00
906,2020-07-03 14:35:00
907,2020-07-03 14:40:00
908,2020-07-03 14:45:00
909,2020-07-03 14:50:00
910,2020-07-03 14:55:00
911,2020-07-03 15:05:00
912,2020-07-03 15:10:00
913,2020-07-03 15:15:00
914,2020-07-03 15:20:00
915,2020-07-03 15:25:00
916,2020-07-03 15:30:00
917,2020-07-03 15:35:00
918,2020-07-03 15:40:00
919,2020-07-03 15:45:00
920,2020-07-03 15:50:00
921,2020-07-03 16:00:00
922,2020-07-03 16:05:00
923,2020-07-03 16:10:00
924,2020-07-03 16:15:00
925,2020-07-03 16:20:00
926,2020-07-03 16:25:00
927,2020-07-03 16:30:00
928,2020-07-03 16:35:00
929,2020-07-03 16:40:00
930,2020-07-03 16:45:00
931,2020-07-03 16:55:00
